id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1355,Nigeria,7/7/2015,0,1,19,20,0,1,7,8
1356,United States of America,7/7/2015,0,0,4,4,0,0,1,1
1357,Sierra Leone,7/7/2015,4194,287,8674,13155,158,208,3574,3940
1358,Senegal,7/7/2015,0,0,1,1,0,0,0,0
1359,Liberia,7/7/2015,5636,1879,3151,10666,,,,4806
1360,Guinea,7/7/2015,11,450,3287,3748,,450,2049,2499
1361,Mali,7/7/2015,0,1,7,8,,,,6
1362,United Kingdom,7/7/2015,0,0,1,1,,,,0
1363,Nigeria,7/8/2015,0,1,19,20,0,1,7,8
1364,Liberia,7/8/2015,,1,3,4,,,1,1
1365,United States of America,7/8/2015,0,0,4,4,0,0,1,1
1366,Spain,7/8/2015,0,0,1,1,0,0,0,0
1367,Sierra Leone,7/8/2015,4194,287,8674,13155,158,208,3574,3940
1368,Mali,7/8/2015,0,1,7,8,,,,6
1369,United Kingdom,7/8/2015,0,0,1,1,,,,0
