id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1,Guinea,8/29/2014,25,141,482,648,2,141,287,430
2,Nigeria,8/29/2014,3,1,15,19,0,1,6,7
3,Sierra Leone,8/29/2014,54,37,935,1026,8,34,380,422
4,Liberia,8/29/2014,382,674,322,1378,168,301,225,694
5,Sierra Leone,9/5/2014,78,37,1146,1261,11,37,443,491
6,Nigeria,9/5/2014,3,1,18,22,0,1,7,8
7,Liberia,9/5/2014,369,888,614,1871,257,401,431,1089
8,Guinea,9/5/2014,56,152,604,812,3,152,362,517
9,Senegal,9/5/2014,,,1,1,,,0,0
10,Senegal,9/8/2014,2,0,1,3,0,0,0,0
11,Guinea,9/8/2014,47,151,664,862,4,151,400,555
12,Sierra Leone,9/8/2014,90,37,1234,1361,11,37,461,509
13,Liberia,9/8/2014,443,969,634,2046,296,420,508,1224
14,Nigeria,9/8/2014,1,1,19,21,0,1,7,8
15,Guinea,9/12/2014,32,151,678,861,4,150,403,557
16,Sierra Leone,9/12/2014,100,37,1287,1424,12,34,478,524
17,Nigeria,9/12/2014,1,1,19,21,0,1,7,8
18,Liberia,9/12/2014,453,974,654,2081,211,428,498,1137
19,Senegal,9/12/2014,2,0,1,3,0,0,0,0
20,Senegal,9/16/2014,0,0,1,1,0,0,0,0
21,Sierra Leone,9/16/2014,119,37,1464,1620,11,37,514,562
22,Guinea,9/16/2014,31,162,743,936,4,162,429,595
23,Nigeria,9/16/2014,1,1,19,21,0,1,7,8
24,Liberia,9/16/2014,539,1078,790,2407,261,472,563,1296
25,Nigeria,9/18/2014,1,1,19,21,0,1,7,8
26,Guinea,9/18/2014,30,162,750,942,5,161,435,601
27,Sierra Leone,9/18/2014,123,37,1513,1673,11,34,517,562
28,Liberia,9/18/2014,675,1233,812,2710,310,518,631,1459
29,Senegal,9/18/2014,0,0,1,1,0,0,0,0
30,Nigeria,9/22/2014,0,1,19,20,0,1,7,8
31,Sierra Leone,9/22/2014,136,37,1640,1813,11,37,545,593
32,Liberia,9/22/2014,817,1342,863,3022,364,544,670,1578
33,Senegal,9/22/2014,0,0,1,1,0,0,0,0
34,Guinea,9/22/2014,28,162,818,1008,5,162,465,632
35,Liberia,9/24/2014,921,1469,890,3280,413,593,671,1677
36,Guinea,9/24/2014,28,162,832,1022,5,162,468,635
37,Nigeria,9/24/2014,0,1,19,20,0,1,7,8
38,Senegal,9/24/2014,0,0,1,1,0,0,0,0
39,Sierra Leone,9/24/2014,158,37,1745,1940,11,34,552,597
40,Sierra Leone,9/26/2014,168,37,1816,2021,11,37,557,605
41,Liberia,9/26/2014,1005,1539,914,3458,415,623,792,1830
42,Senegal,9/26/2014,0,0,1,1,0,0,0,0
43,Guinea,9/26/2014,36,162,876,1074,5,162,481,648
44,Nigeria,9/26/2014,0,1,19,20,0,1,7,8
45,Guinea,10/1/2014,37,170,950,1157,5,170,535,710
46,Senegal,10/1/2014,0,0,1,1,0,0,0,0
47,Nigeria,10/1/2014,0,1,19,20,0,1,7,8
48,Sierra Leone,10/1/2014,191,37,2076,2304,11,37,574,622
49,Liberia,10/1/2014,1113,1656,927,3696,444,664,890,1998
50,United States of America,10/3/2014,,,1,1,,,0,0
51,Nigeria,10/3/2014,0,1,19,20,0,1,7,8
52,Guinea,10/3/2014,45,177,977,1199,0,177,562,739
53,Liberia,10/3/2014,1190,1713,931,3834,458,677,934,2069
54,Sierra Leone,10/3/2014,221,37,2179,2437,11,37,575,623
55,Senegal,10/3/2014,0,0,1,1,0,0,0,0
56,Nigeria,10/8/2014,0,1,19,20,0,1,7,8
57,United States of America,10/8/2014,,,1,1,,,0,0
58,Senegal,10/8/2014,0,0,1,1,0,0,0,0
59,Guinea,10/8/2014,74,180,1044,1298,2,179,587,768
60,Sierra Leone,10/8/2014,297,37,2455,2789,31,123,725,879
61,Liberia,10/8/2014,1188,1795,941,3924,491,701,1018,2210
62,United States of America,10/10/2014,,,1,1,,,0,0
63,Senegal,10/10/2014,0,0,1,1,0,0,0,0
64,Liberia,10/10/2014,1259,1874,943,4076,519,725,1072,2316
65,Nigeria,10/10/2014,0,1,19,20,0,1,7,8
66,Spain,10/10/2014,,,1,1,,,0,0
67,Guinea,10/10/2014,73,180,1097,1350,0,180,598,778
68,Sierra Leone,10/10/2014,320,37,2593,2950,35,142,753,930
69,United States of America,10/15/2014,,,2,2,,,1,1
70,Senegal,10/15/2014,0,0,1,1,0,0,0,0
71,Nigeria,10/15/2014,0,1,19,20,0,1,7,8
72,Liberia,10/15/2014,1376,1923,950,4249,,,,2458
73,Spain,10/15/2014,,,1,1,,,0,0
74,Guinea,10/15/2014,98,190,1184,1472,0,190,653,843
75,Sierra Leone,10/15/2014,366,37,2849,3252,100,157,926,1183
76,Guinea,10/17/2014,111,191,1217,1519,0,191,671,862
77,Nigeria,10/17/2014,0,1,19,20,0,1,7,8
78,Spain,10/17/2014,,,1,1,,,0,0
79,Senegal,10/17/2014,0,0,1,1,0,0,0,0
80,United States of America,10/17/2014,,,3,3,,,1,1
81,Liberia,10/17/2014,,,,4262,,,,2484
82,Sierra Leone,10/17/2014,396,37,2977,3410,107,161,932,1200
83,Nigeria,10/22/2014,0,1,19,20,0,1,7,8
84,Spain,10/22/2014,,,1,1,,,0,0
85,United States of America,10/22/2014,,,3,3,,,1,1
86,Sierra Leone,10/22/2014,446,37,3223,3706,109,164,986,1259
87,Senegal,10/22/2014,0,0,1,1,0,0,0,0
88,Liberia,10/22/2014,1594,2106,965,4665,661,803,1241,2705
89,Guinea,10/22/2014,58,193,1289,1540,1,193,710,904
90,Mali,10/25/2014,,,1,1,,,1,1
91,United States of America,10/25/2014,,,4,4,,,1,1
92,Sierra Leone,10/25/2014,470,37,3389,3896,109,164,1008,1281
93,Spain,10/25/2014,,,1,1,,,0,0
94,Senegal,10/25/2014,0,0,1,1,0,0,0,0
95,Nigeria,10/25/2014,0,1,19,20,0,1,7,8
96,Guinea,10/25/2014,47,194,1312,1553,0,194,732,926
97,Liberia,10/25/2014,1594,2106,965,4665,661,803,1241,2705
98,Liberia,10/29/2014,2480,1540,2515,6535,,,,2413
99,Mali,10/29/2014,0,0,1,1,0,0,1,1
100,Nigeria,10/29/2014,0,1,19,20,0,1,7,8
101,Senegal,10/29/2014,0,0,1,1,0,0,0,0
102,Spain,10/29/2014,0,0,1,1,0,0,0,0
103,Guinea,10/29/2014,316,199,1391,1906,,,,997
104,United States of America,10/29/2014,0,0,4,4,0,0,1,1
105,Sierra Leone,10/29/2014,1213,322,3700,5235,,,,1500
106,Guinea,10/31/2014,54,204,1409,1667,,,,1018
107,Nigeria,10/31/2014,0,1,19,20,0,1,7,8
108,Spain,10/31/2014,0,0,1,1,0,0,0,0
109,United States of America,10/31/2014,0,0,4,4,0,0,1,1
110,Senegal,10/31/2014,0,0,1,1,0,0,0,0
111,Mali,10/31/2014,0,0,1,1,0,0,1,1
112,Liberia,10/31/2014,2480,1540,2515,6535,,,,2413
113,Sierra Leone,10/31/2014,1238,322,3778,5338,,,,1510
114,Spain,11/5/2014,0,0,1,1,0,0,0,0
115,United States of America,11/5/2014,0,0,4,4,0,0,1,1
116,Guinea,11/5/2014,70,204,1457,1731,0,204,837,1041
117,Liberia,11/5/2014,2447,1627,2451,6525,,,,2697
118,Mali,11/5/2014,0,0,1,1,0,0,1,1
119,Nigeria,11/5/2014,0,1,19,20,0,1,7,8
120,Senegal,11/5/2014,0,0,1,1,0,0,0,0
121,Sierra Leone,11/5/2014,623,79,4057,4759,35,142,893,1070
122,Nigeria,11/7/2014,0,1,19,20,0,1,7,8
123,Guinea,11/7/2014,77,204,1479,1760,0,204,850,1054
124,United States of America,11/7/2014,0,0,4,4,0,0,1,1
125,Senegal,11/7/2014,0,0,1,1,0,0,0,0
126,Liberia,11/7/2014,2476,1629,2514,6619,,,,2766
127,Spain,11/7/2014,0,0,1,1,0,0,0,0
128,Mali,11/7/2014,0,0,1,1,0,0,1,1
129,Sierra Leone,11/7/2014,634,79,4149,4862,35,174,921,1130
130,Spain,11/12/2014,0,0,1,1,0,0,0,0
131,United States of America,11/12/2014,0,0,4,4,0,0,1,1
132,Mali,11/12/2014,0,2,2,4,0,2,2,4
133,Nigeria,11/12/2014,0,1,19,20,0,1,7,8
134,Guinea,11/12/2014,58,208,1612,1878,0,208,934,1142
135,Sierra Leone,11/12/2014,766,79,4523,5368,35,174,960,1169
136,Liberia,11/12/2014,2582,1687,2553,6822,,,,2836
137,Senegal,11/12/2014,0,0,1,1,0,0,0,0
138,Senegal,11/14/2014,0,0,1,1,0,0,0,0
139,Guinea,11/14/2014,64,208,1647,1919,0,208,958,1166
140,Spain,11/14/2014,0,0,1,1,0,0,0,0
141,Nigeria,11/14/2014,0,1,19,20,0,1,7,8
142,Mali,11/14/2014,0,1,3,4,,,,3
143,United States of America,11/14/2014,0,0,4,4,0,0,1,1
144,Liberia,11/14/2014,2600,1716,2562,6878,,,,2812
145,Sierra Leone,11/14/2014,824,79,4683,5586,35,174,978,1187
146,Liberia,11/19/2014,2664,1762,2643,7069,,,,2964
147,Spain,11/19/2014,0,0,1,1,0,0,0,0
148,Sierra Leone,11/19/2014,938,79,5056,6073,35,174,1041,1250
149,Senegal,11/19/2014,0,0,1,1,0,0,0,0
150,Nigeria,11/19/2014,0,1,19,20,0,1,7,8
151,Mali,11/19/2014,0,1,5,6,0,1,4,5
152,United States of America,11/19/2014,0,0,4,4,0,0,1,1
153,Guinea,11/19/2014,63,210,1698,1971,0,210,982,1192
154,Spain,11/21/2014,0,0,1,1,0,0,0,0
155,Liberia,11/21/2014,2663,1750,2669,7082,,,,2963
156,Nigeria,11/21/2014,0,1,19,20,0,1,7,8
157,United States of America,11/21/2014,0,0,4,4,0,0,1,1
158,Sierra Leone,11/21/2014,959,79,5152,6190,35,174,1058,1267
159,Mali,11/21/2014,0,1,5,6,0,1,5,6
160,Senegal,11/21/2014,0,0,1,1,0,0,0,0
161,Guinea,11/21/2014,86,216,1745,2047,0,216,998,1214
162,Sierra Leone,11/26/2014,1079,79,5441,6599,35,174,1189,1398
163,Liberia,11/26/2014,2687,1754,2727,7168,,,,3016
164,Mali,11/26/2014,0,1,7,8,0,1,5,6
165,United States of America,11/26/2014,0,0,4,4,0,0,1,1
166,Spain,11/26/2014,0,0,1,1,0,0,0,0
167,Nigeria,11/26/2014,0,1,19,20,0,1,7,8
168,Guinea,11/26/2014,74,210,1850,2134,0,210,1050,1260
169,Senegal,11/26/2014,0,0,1,1,0,0,0,0
170,Senegal,12/1/2014,0,0,1,1,0,0,0,0
171,Mali,12/1/2014,0,1,7,8,,,,6
172,Spain,12/1/2014,0,0,1,1,0,0,0,0
173,Sierra Leone,12/1/2014,1199,79,5831,7109,35,174,1321,1530
174,Liberia,12/1/2014,3042,1792,2801,7635,,,,3145
175,Nigeria,12/1/2014,0,1,19,20,0,1,7,8
176,Guinea,12/1/2014,24,210,1921,2155,0,210,1102,1312
177,United States of America,12/1/2014,0,0,4,4,0,0,1,1
178,Mali,12/3/2014,0,1,7,8,,,,6
179,Spain,12/3/2014,0,0,1,1,0,0,0,0
180,Guinea,12/3/2014,25,210,1929,2164,0,210,1117,1327
181,Senegal,12/3/2014,0,0,1,1,0,0,0,0
182,Sierra Leone,12/3/2014,1255,79,5978,7312,35,174,1374,1583
183,Liberia,12/3/2014,3042,1792,2801,7635,,,,3145
184,United States of America,12/3/2014,0,0,4,4,0,0,1,1
185,Nigeria,12/3/2014,0,1,19,20,0,1,7,8
186,Spain,12/10/2014,0,0,1,1,0,0,0,0
187,Guinea,12/10/2014,20,221,2051,2292,0,221,1207,1428
188,Senegal,12/10/2014,0,0,1,1,0,0,0,0
189,Mali,12/10/2014,0,1,7,8,,,,6
190,Liberia,12/10/2014,3075,1814,2830,7719,,,,3177
191,Sierra Leone,12/10/2014,1443,79,6375,7897,35,174,1559,1768
192,Nigeria,12/10/2014,0,1,19,20,0,1,7,8
193,United States of America,12/10/2014,0,0,4,4,0,0,1,1
194,Spain,12/15/2014,0,0,1,1,0,0,0,0
195,Nigeria,12/15/2014,0,1,19,20,0,1,7,8
196,Guinea,12/15/2014,16,263,2115,2394,0,263,1255,1518
197,United States of America,12/15/2014,0,0,4,4,0,0,1,1
198,Mali,12/15/2014,0,1,7,8,,,,6
199,Liberia,12/15/2014,3050,1801,2946,7797,,,,3290
200,Senegal,12/15/2014,0,0,1,1,0,0,0,0
201,Sierra Leone,12/15/2014,1556,79,6638,8273,35,174,1824,2033
202,Nigeria,12/17/2014,0,1,19,20,0,1,7,8
203,Senegal,12/17/2014,0,0,1,1,0,0,0,0
204,Spain,12/17/2014,0,0,1,1,0,0,0,0
205,Liberia,12/17/2014,3050,1801,2946,7797,,,,3290
206,Mali,12/17/2014,0,1,7,8,,,,6
207,United States of America,12/17/2014,0,0,4,4,0,0,1,1
208,Guinea,12/17/2014,26,263,2127,2416,0,263,1262,1525
209,Sierra Leone,12/17/2014,1575,79,6702,8356,35,174,1876,2085
210,Spain,12/22/2014,0,0,1,1,0,0,0,0
211,United States of America,12/22/2014,0,0,4,4,0,0,1,1
212,Nigeria,12/22/2014,0,1,19,20,0,1,7,8
213,Senegal,12/22/2014,0,0,1,1,0,0,0,0
214,Guinea,12/22/2014,49,263,2259,2571,0,263,1323,1586
215,Liberia,12/22/2014,2991,1754,3085,7830,,,,3376
216,Mali,12/22/2014,0,1,7,8,,,,6
217,Sierra Leone,12/22/2014,1677,287,6975,8939,158,208,2190,2556
218,Sierra Leone,12/23/2014,1700,287,7017,9004,158,208,2216,2582
219,Mali,12/23/2014,0,1,7,8,,,,6
220,Spain,12/23/2014,0,0,1,1,0,0,0,0
221,Liberia,12/23/2014,2991,1754,3085,7830,,,,3376
222,Senegal,12/23/2014,0,0,1,1,0,0,0,0
223,Guinea,12/23/2014,50,263,2284,2597,0,263,1344,1607
224,Nigeria,12/23/2014,0,1,19,20,0,1,7,8
225,United States of America,12/23/2014,0,0,4,4,0,0,1,1
226,Nigeria,12/24/2014,0,1,19,20,0,1,7,8
227,Senegal,12/24/2014,0,0,1,1,0,0,0,0
228,Guinea,12/24/2014,50,263,2284,2597,0,263,1344,1607
229,Sierra Leone,12/24/2014,1700,287,7017,9004,158,208,2216,2582
230,Spain,12/24/2014,0,0,1,1,0,0,0,0
231,Mali,12/24/2014,0,1,7,8,,,,6
232,Liberia,12/24/2014,3020,1757,3085,7862,,,,3384
233,United States of America,12/24/2014,0,0,4,4,0,0,1,1
234,Senegal,12/26/2014,0,0,1,1,0,0,0,0
235,Mali,12/26/2014,0,1,7,8,,,,6
236,Sierra Leone,12/26/2014,1756,287,7160,9203,158,208,2289,2655
237,United States of America,12/26/2014,0,0,4,4,0,0,1,1
238,Nigeria,12/26/2014,0,1,19,20,0,1,7,8
239,Guinea,12/26/2014,19,269,2342,2630,0,269,1385,1654
240,Liberia,12/26/2014,3020,1757,3085,7862,,,,3384
241,Spain,12/26/2014,0,0,1,1,0,0,0,0
242,United States of America,12/29/2014,0,0,4,4,0,0,1,1
243,Sierra Leone,12/29/2014,1796,287,7326,9409,158,208,2366,2732
244,Nigeria,12/29/2014,0,1,19,20,0,1,7,8
245,Mali,12/29/2014,0,1,7,8,,,,6
246,Liberia,12/29/2014,3096,1773,3108,7977,,,,3413
247,Guinea,12/29/2014,36,275,2384,2695,0,275,1422,1697
248,Senegal,12/29/2014,0,0,1,1,0,0,0,0
249,Spain,12/29/2014,0,0,1,1,0,0,0,0
250,United States of America,12/30/2014,0,0,4,4,0,0,1,1
251,Sierra Leone,12/30/2014,1805,287,7354,9446,158,208,2392,2758
252,Mali,12/30/2014,0,1,7,8,,,,6
253,Liberia,12/30/2014,3096,1773,3108,7977,,,,3413
254,Guinea,12/30/2014,34,275,2397,2706,0,275,1433,1708
255,Spain,12/30/2014,0,0,1,1,0,0,0,0
256,Senegal,12/30/2014,0,0,1,1,0,0,0,0
257,Nigeria,12/30/2014,0,1,19,20,0,1,7,8
258,Spain,12/31/2014,0,0,1,1,0,0,0,0
259,Senegal,12/31/2014,0,0,1,1,0,0,0,0
260,Liberia,12/31/2014,3132,1776,3110,8018,,,,3423
261,Sierra Leone,12/31/2014,1805,287,7354,9446,158,208,2392,2758
262,Mali,12/31/2014,0,1,7,8,,,,6
263,Nigeria,12/31/2014,0,1,19,20,0,1,7,8
264,United States of America,12/31/2014,0,0,4,4,0,0,1,1
265,Guinea,12/31/2014,34,276,2397,2707,0,276,1433,1709
266,Nigeria,1/2/2015,0,1,19,20,0,1,7,8
267,Spain,1/2/2015,0,0,1,1,0,0,0,0
268,United States of America,1/2/2015,0,0,4,4,0,0,1,1
269,Senegal,1/2/2015,0,0,1,1,0,0,0,0
270,United Kingdom,1/2/2015,0,0,1,0,,,,0
271,Liberia,1/2/2015,3132,1776,3110,8018,,,,3423
272,Sierra Leone,1/2/2015,1870,287,7476,9633,158,208,2461,2827
273,Mali,1/2/2015,0,1,7,8,,,,6
274,Guinea,1/2/2015,19,276,2435,2730,0,276,1463,1739
275,Sierra Leone,1/5/2015,1915,287,7570,9772,158,208,2549,2915
276,Liberia,1/5/2015,3198,1805,3116,8115,,,,3471
277,Spain,1/5/2015,0,0,1,1,0,0,0,0
278,Nigeria,1/5/2015,0,1,19,20,0,1,7,8
279,United Kingdom,1/5/2015,0,0,1,0,,,,0
280,Guinea,1/5/2015,26,280,2465,2769,0,280,1488,1767
281,United States of America,1/5/2015,0,0,4,4,0,0,1,1
282,Mali,1/5/2015,0,1,7,8,,,,6
283,Senegal,1/5/2015,0,0,1,1,0,0,0,0
284,United Kingdom,1/6/2015,0,0,1,1,0,0,0,0
285,Guinea,1/6/2015,22,282,2471,2775,0,282,1499,1781
286,Sierra Leone,1/6/2015,1819,287,7602,9780,158,208,2577,2943
287,Liberia,1/6/2015,3223,1816,3118,8157,,,,3496
288,Spain,1/6/2015,0,0,1,1,0,0,0,0
289,United States of America,1/6/2015,0,0,4,4,0,0,1,1
290,Senegal,1/6/2015,0,0,1,1,0,0,0,0
291,Nigeria,1/6/2015,0,1,19,20,0,1,7,8
292,Mali,1/6/2015,0,1,7,8,,,,6
293,Spain,1/7/2015,0,0,1,1,0,0,0,0
294,Guinea,1/7/2015,22,282,2471,2775,0,282,1499,1781
295,Senegal,1/7/2015,0,0,1,1,0,0,0,0
296,Nigeria,1/7/2015,0,1,19,20,0,1,7,8
297,United Kingdom,1/7/2015,0,0,1,1,0,0,0,0
298,Mali,1/7/2015,0,1,7,8,,,,6
299,United States of America,1/7/2015,0,0,4,4,0,0,1,1
300,Sierra Leone,1/7/2015,1819,287,7602,9780,158,208,2577,2943
301,Liberia,1/7/2015,3223,1816,3118,8157,,,,3496
302,United Kingdom,1/8/2015,0,0,1,,,,,0
303,Mali,1/8/2015,0,1,7,,,,,6
304,Guinea,1/8/2015,17,282,2477,2776,,282,1504,1786
305,Sierra Leone,1/8/2015,1984,287,7759,10030,158,208,2611,2977
306,Liberia,1/8/2015,3232,1816,3118,8166,,,,3496
307,Mali,1/9/2015,0,1,7,,,,,6
308,Guinea,1/9/2015,18,282,2493,2793,,282,1515,1797
309,United Kingdom,1/9/2015,0,0,1,,,,,0
310,Sierra Leone,1/9/2015,1984,287,7759,10030,158,208,2611,2977
311,Liberia,1/9/2015,3309,1831,3123,8263,,,,3515
312,Liberia,1/12/2015,3322,1833,3123,8278,,,,3515
313,United Kingdom,1/12/2015,0,0,1,,,,,0
314,Sierra Leone,1/12/2015,2041,287,7766,10094,158,208,2683,3049
315,Mali,1/12/2015,0,1,7,,,,,6
316,Guinea,1/12/2015,7,284,2508,2799,,284,1523,1807
317,United Kingdom,1/13/2015,0,0,1,,,,,0
318,Mali,1/13/2015,1,1,7,,,,,6
319,Guinea,1/13/2015,7,284,2508,2799,,284,1523,1807
320,Liberia,1/13/2015,3322,1833,3123,8278,,,,3515
321,Sierra Leone,1/13/2015,2041,287,7766,10094,158,208,2683,3049
322,Liberia,1/14/2015,3365,1839,3127,8331,,,,3538
323,United States of America,1/14/2015,0,0,4,4,0,0,1,1
324,Senegal,1/14/2015,0,0,1,1,0,0,0,0
325,Guinea,1/14/2015,8,284,2514,2806,,284,1530,1814
326,Spain,1/14/2015,0,0,1,1,0,0,0,0
327,Nigeria,1/14/2015,0,1,19,20,0,1,7,8
328,Sierra Leone,1/14/2015,2051,287,7786,10124,158,208,2696,3062
329,Mali,1/14/2015,0,1,7,8,,,,6
330,United Kingdom,1/14/2015,0,0,1,1,,,,0
331,Sierra Leone,1/15/2015,2061,287,7802,10150,158,208,2701,3067
332,Liberia,1/15/2015,3394,1841,3127,8362,,,,3556
333,United States of America,1/15/2015,0,0,4,4,0,0,1,1
334,Mali,1/15/2015,0,1,7,8,,,,6
335,Spain,1/15/2015,0,0,1,1,0,0,0,0
336,Guinea,1/15/2015,11,284,2522,2817,,284,1537,1821
337,United Kingdom,1/15/2015,0,0,1,1,,,,0
338,Nigeria,1/15/2015,0,1,19,20,0,1,7,8
339,Senegal,1/15/2015,0,0,1,1,0,0,0,0
340,Spain,1/16/2015,0,0,1,1,0,0,0,0
341,Nigeria,1/16/2015,0,1,19,20,0,1,7,8
342,Guinea,1/16/2015,12,288,2525,2825,,288,1541,1829
343,Mali,1/16/2015,0,1,7,8,,,,6
344,Senegal,1/16/2015,0,0,1,1,0,0,0,0
345,Liberia,1/16/2015,3394,1841,3127,8362,,,,3556
346,United States of America,1/16/2015,0,0,4,4,0,0,1,1
347,Sierra Leone,1/16/2015,2074,287,7825,10186,158,208,2717,3083
348,United Kingdom,1/16/2015,0,0,1,1,,,,0
349,Nigeria,1/19/2015,0,1,19,20,0,1,7,8
350,Liberia,1/19/2015,3454,1850,3131,8435,,,,3587
351,United Kingdom,1/19/2015,0,0,1,1,,,,0
352,Spain,1/19/2015,0,0,1,1,0,0,0,0
353,Guinea,1/19/2015,15,319,2539,2873,,319,1556,1875
354,Sierra Leone,1/19/2015,2136,287,7883,10306,158,208,2766,3132
355,Senegal,1/19/2015,0,0,1,1,0,0,0,0
356,United States of America,1/19/2015,0,0,4,4,0,0,1,1
357,Mali,1/19/2015,0,1,7,8,,,,6
358,Spain,1/20/2015,0,0,1,1,0,0,0,0
359,United Kingdom,1/20/2015,0,0,1,1,,,,0
360,Senegal,1/20/2015,0,0,1,1,0,0,0,0
361,Nigeria,1/20/2015,0,1,19,20,0,1,7,8
362,Liberia,1/20/2015,3489,1854,3135,8478,,,,3605
363,Guinea,1/20/2015,13,319,2539,2871,,319,1557,1876
364,Mali,1/20/2015,0,1,7,8,,,,6
365,United States of America,1/20/2015,0,0,4,4,0,0,1,1
366,Sierra Leone,1/20/2015,2150,287,7903,10340,158,208,2779,3145
367,Sierra Leone,1/21/2015,2150,287,7903,10340,158,208,2779,3145
368,Nigeria,1/21/2015,0,1,19,20,0,1,7,8
369,Liberia,1/21/2015,3489,1854,3135,8478,,,,3605
370,Spain,1/21/2015,0,0,1,1,0,0,0,0
371,Mali,1/21/2015,0,1,7,8,,,,6
372,Senegal,1/21/2015,0,0,1,1,0,0,0,0
373,United States of America,1/21/2015,0,0,4,4,0,0,1,1
374,Guinea,1/21/2015,13,319,2539,2871,,319,1557,1876
375,United Kingdom,1/21/2015,0,0,1,1,,,,0
376,Liberia,1/22/2015,3534,1854,3136,8524,,,,3636
377,Senegal,1/22/2015,0,0,1,1,0,0,0,0
378,United States of America,1/22/2015,0,0,4,4,0,0,1,1
379,Nigeria,1/22/2015,0,1,19,20,0,1,7,8
380,Sierra Leone,1/22/2015,2166,287,7909,10362,158,208,2787,3153
381,Mali,1/22/2015,0,1,7,8,,,,6
382,Guinea,1/22/2015,12,319,2542,2873,,319,1560,1879
383,Spain,1/22/2015,0,0,1,1,0,0,0,0
384,United Kingdom,1/22/2015,0,0,1,1,,,,0
385,Sierra Leone,1/23/2015,2192,287,7921,10400,158,208,2793,3159
386,Mali,1/23/2015,0,1,7,8,,,,6
387,Liberia,1/23/2015,3534,1854,3136,8524,,,,3636
388,Spain,1/23/2015,0,0,1,1,0,0,0,0
389,Guinea,1/23/2015,9,319,2545,2873,,319,1561,1880
390,Senegal,1/23/2015,0,0,1,1,0,0,0,0
391,Nigeria,1/23/2015,0,1,19,20,0,1,7,8
